	Sal1.5	Sal2.5	Sal4	Sal6	Sal8
Bradyrhizobium_sp1	2.2	2.2	2	1.2	0.2
Bradyrhizobium_sp2	2.333333333	1.333333333	1.333333333	0.1	0.1
Bradyrhizobium_sp3	3	3.5	3	1.5	1
Bradyrhizobium_sp4	3	3	2	3	2
Bradyrhizobium_sp5	2.5	2.5	2.5	2	0.5
Bradyrhizobium_sp6	3	2	2	1	0.1
Bradyrhizobium_sp7	2	2	2	1	0.1
Bradyrhizobium_sp8	3.5	2.5	1.5	1	0.1
Rhizobium_sp1	2.75	2.5	2.5	2.75	1.5
Rhizobium_sp10	2.5	2.5	2	3	2
Rhizobium_sp11	3	2	2	2	0.1
Rhizobium_sp12	3	3	3	3	0.1
Rhizobium_sp13	3	3	3	2	0.1
Rhizobium_sp2	2	2	2	2	0.1
Rhizobium_sp3	3	3	3	3	2
Rhizobium_sp4	3	3	1	0.1	1
Rhizobium_sp5	3.666666667	2.666666667	2.666666667	2	0.1
Rhizobium_sp6	3	3.5	3.5	4	3.5
Rhizobium_sp7	3	3	2	2	0.1
Rhizobium_sp8	3	2.5	2.5	2.5	1.5
Rhizobium_sp9	2	2	2	3	4
Sinorhizobium_sp1	3	3	3	4	2
