	Tem4	Tem13	Tem40
Bradyrhizobium_sp1	1.2	2	1
Bradyrhizobium_sp2	1.333333333	2	0.666666667
Bradyrhizobium_sp3	2	2	3
Bradyrhizobium_sp4	2	2	1
Bradyrhizobium_sp5	1.5	2	2
Bradyrhizobium_sp6	2	2	2
Bradyrhizobium_sp7	1	2	2
Bradyrhizobium_sp8	1	2	1.5
Rhizobium_sp1	1.5	2	2.5
Rhizobium_sp10	1.5	2	3
Rhizobium_sp11	1	2	0.1
Rhizobium_sp12	1	2	1
Rhizobium_sp13	2	2	0.1
Rhizobium_sp2	1	2	3
Rhizobium_sp3	2	2	4
Rhizobium_sp4	2	3	1
Rhizobium_sp5	1.666666667	2	1
Rhizobium_sp6	0.5	2	3
Rhizobium_sp7	1	2	1
Rhizobium_sp8	2	2	2
Rhizobium_sp9	1	2	4
Sinorhizobium_sp1	2	2	1
