	pH2	pH4	pH8	pH9
Bradyrhizobium_sp1	1	1.6	2.2	1.8
Bradyrhizobium_sp2	1	3.333333333	3.666666667	3.333333333
Bradyrhizobium_sp3	1	1.5	2.5	1.5
Bradyrhizobium_sp4	1	2	2	1
Bradyrhizobium_sp5	0.5	1	2.5	1.5
Bradyrhizobium_sp6	1	2	2	2
Bradyrhizobium_sp7	1	1	2	1
Bradyrhizobium_sp8	1	1	2.5	3
Rhizobium_sp1	1	2.5	2.5	2
Rhizobium_sp10	1	2.5	2.5	2.5
Rhizobium_sp11	1	3	4	4
Rhizobium_sp12	1	1	1	1
Rhizobium_sp13	1	3	3	2
Rhizobium_sp2	1	1	2	1
Rhizobium_sp3	1	1	4	4
Rhizobium_sp4	3	3	3	3
Rhizobium_sp5	0.666666667	2.333333333	3	3
Rhizobium_sp6	1	3	3	3
Rhizobium_sp7	1	2	4	4
Rhizobium_sp8	0.5	2	3	2.5
Rhizobium_sp9	1	3	2	1
Sinorhizobium_sp1	3	2	1	3
